"trick","obstacledetail","obstacle","cnt"
"no compy bs 180 to sw fs 5050 to sw fs 180","plain jane","curb",1
"no compy to fs blunt to fakie","plain jane","ledge",1
"nollie","flat gap","gap",1
"nollie bs 180","plain jane","stairs",1
"nollie bs 180 to fakie manny to halfcab to manny to bs 180 to fakie manny","pad to pad","pad",1
"nollie bs 180 to sw fs nosegrind","plain jane","ledge",1
"nollie bs inward heelflip","over rail","gap",1
"nollie bs kickflip","plain jane","stairs",1
"nollie bs kickflip to fakie manny to fs halfcab","plain jane","pad",1
"nollie fs 180 to sw bs crook to regular","outledge","ledge",1
"nollie fs big flip","over wall","gap",1
"nollie fs heellip","over can","flat",1
"nollie fs kickflip","plain jane","gap",1
"nollie fs kickflip to sw fs 5-0","plain jane","ledge",1
"nollie hardflip","plain jane","stairs",1
"nollie heelflip","bump to bar","gap",1
"nollie heelflip","flat gap","gap",1
"nollie heelflip","into bank","flat",1
"nollie heelflip to bs wallride","plain jane","wall",1
"nollie heelflip to nose manny","pad to drop","pad",1
"nollie kickflip","bump to bar","gap",1
"nollie kickflip","into bank","gap",2
"nollie to bs crook","plain jane","ledge",1
"nollie to bs tailslide to bs kickflip","plain jane","ledge",1
"nollie to fs noseblunt","plain jane","ledge",1
"nose manny","bank to pad to bank","pad",1
"nose manny to bs nosegrind to nose manny","pad to ledge to pad","pad",1
"nose manny to bs nosegrind to nose manny drop nose manny","plain jane","pad",1
"nose manny to fs nollie 360 kickflip","plain jane","pad",1
"nose manny to fs nosegrind indie","concrete skatepark","pad",1
"nose manny to nollie","pad to flat gap","pad",1
"nose slide to nollie kickflip","plain jane","ledge",1
"nosegrind to wall ride","up ledge","ledge",1
"ollie","bank","gap",1
"ollie","bump to bar","gap",2
"ollie","escalator","gap",1
"ollie","flat gap","gap",1
"ollie","into bank","flat",1
"ollie","onto ball","gap",1
"ollie","over rail","gap",1
"ollie","over rail into double bank","gap",1
"ollie","over table","gap",1
"ollie","plain jane","gap",2
"ollie","rooftop","gap",1
"ollie","to drop to drop to drop","gap",1
"ollie bs noseslide","bump to bar to ledge","gap",1
"ollie to body varial","plain jane","stairs",1
"ollie to bs wallride","plain jane","wall",1
"ollie to deck bonk","plain jane","gap",1
"ollie to fs wallride","gap to wall","wall",1
"ollie to fs wallride","plain jane","wall",2
"ollie to no comply","over rail into bank","gap",1
"ollie to ollie to ollie","bank to bank to bank","bank",1
"ollie to ollie to ollie","pad to chain","pad",1
"pole jam 5050","into bank","flat rail",1
"pole jam to hippie jump","plain jane","flat rail",1
"pole jam to manny to pole jam","pole jam flat pole jam","flat rail",1
"polejam to fs lipslide to fakie","pole to gap to rail","flat rail",1
"ride-on 5050","bank to rail","flat rail",1
"ride-on 5050","outledge","ledge",1
"ride-on 5050","plain jane","handrail",1
"ride-on 5050 to shuv","plain jane","flat rail",1
"ride-on bs 5050","ledge to gap","ledge",1
"ride-on bs 5050 to ride-on bs 5050","rail to rail","flat rail",1
"ride-on bs nosegrind","curb","ledge",1
"ride-on bs tailslide","plain jane","ledge",1
"ride-on fs crook","tram tracks","flat rail",1
"ride-on fs lipslide","drop to rail","flat rail",1
"ride-on fs lipslide to fakie","plain jane","flat rail",1
"ride-on sw bs crook","escalator","ledge",1
"shoe slide to caveman","into hill","flat rail",1
"shuv to bs 5-0 to bs 180","plain jane","ledge",1
"shuv to fs blunt","plain jane","flat rail",1
"shuv to fs blunt to fakie","bench","flat rail",1
"shuv to fs noseslide to nollie shuv","plain jane","ledge",1
"shuv to fs noseslide to transfer fakie","plain jane","ledge",1
"shuv to manny to fs 180","plain jane","pad",1
"shuv to tail grab","into hill","stairs",1
"slappy bs 5050","around corner","curb",1
"slappy bs crook to bs 180","street transition","transition",1
"slappy bs lipslide","plain jane","ledge",1
"slappy bs smith","plain jane","curb",1
"slappy fs crook to nose manny to fs noseslide to fakie","to pad to ledge","ledge",1
"sw 360 flip","flat gap to bank","gap",1
"sw 360 flip","plain jane","stairs",3
"sw bs 180","plain jane","gap",1
"sw bs 180 to bs 5-0 to fs 180","outledge","ledge",1
"sw bs 360","plain jane","stairs",1
"sw bs heelflip","over can","gap",1
"sw bs heelflip","plain jane","gap",1
"sw bs kickflip","over rail","stairs",1
"sw bs kickflip","plain jane","stairs",1
"sw bs kickflip to manny","gap to pad","pad",1
"sw bs noseblunt","plain jane","handrail",1
"sw bs slappy crook to normal","plain jane","curb",1
"sw bs smith to sw bs kickflip","curved ledge","ledge",1
"sw bs tailslide","into bank","ledge",1
"sw bs tailslide to bs wallride","ledge to wall","ledge",1
"sw bs tailslide to sw shuv","plain jane","ledge",1
"sw bs wallride hippie jump","bank to wall","wall",1
"sw fs 180 to bs crook","plain jane","ledge",1
"sw fs 180 to fs 5-0","into bank","ledge",1
"sw fs 360","plain jane","stairs",2
"sw fs 360 heelflip","bump to bar","gap",1
"sw fs heelflip","plain jane","stairs",1
"sw fs kickflip","bump to gap","gap",1
"sw fs kickflip","over ledge","flat",1
"sw fs kickflip","plain jane","stairs",2
"sw fs shuv","into bank","gap",1
"sw fs shuv to sw manny to sw fs shuv","plain jane","pad",1
"sw hardflip","bump to can","gap",1
"sw hardflip","double set","stairs",1
"sw hardflip","flat gap","gap",1
"sw hardflip","plain jane","gap",1
"sw hardflip","plain jane","stairs",1
"sw hardflip to bs tailslide","plain jane","ledge",1
"sw heelflip","flat gap","gap",1
"sw heelflip","plain jane","stairs",3
"sw inward heelflip","over block","gap",1
"sw kickflip","bump to bar","gap",1
"sw kickflip","into hill","gap",1
"sw kickflip to sw bs tailslide","gap to ledge to gap","ledge",1
"sw kickflip to sw bs tailslide","plain jane","ledge",2
"sw kickflip to sw manny to sw ollie","flat","pad",1
"sw manny to sw 360 flip","plain jane","pad",1
"sw ollie","over picnic table","gap",1
"sw varial kickflip","plain jane","stairs",1
"sw wallride to sw bs noseslide","wall to ledge","ledge",1
"taildrop to 5050","plain jane","handrail",1
"varial heelflip","over block","flat",1
