week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
39,9/30/22,8,Aoto Yoroi,bs 180 to fakie manual to halfcab,1,,regular,,1,,,1,pad,,,quick feet,3,Pick Ups,solo,,
39,9/30/22,7,Mark Del Negro,sw bs heelflip,1,1,switch,,,,,,gap,,,2 bs heels,4,Landline,company,Dialtone Wheels,
39,9/30/22,6,Karsten Kleppan,fs 5050 to bs 180 transfer,,,regular,,,,,1,flat rail,curved rail,,,5,BRSB,company,Nike SB,
39,9/30/22,5,Gustav Tonnesen,kickflip to bs noseslide,1,,regular,,,,,,ledge,,,,6,SUCKSESS,company,Sour Skateboards,
39,9/30/22,4,Tyshawn Jones,ollie,,,regular,1,,,1,,gap,over table,,,7,,,,1
39,9/30/22,3,Lucas Puig,sw fs 360 heelflip,,,regular,,,,,,gap,bump to bar,demo,no shirt,8,,,,1
39,9/30/22,2,Bobby De Keyzer,bs bigspin to sw manual to sw fs 180,,,regular,1,,,,,pad,,,,9,BOBBY,solo,,
39,9/30/22,1,Louie Lopez,360 flip to manual,,,regular,,,,,1,pad,into bank,,,10,Louie Again and Again,solo,F.A,
40,10/7/22,10,Dane Brady,ollie,,,regular,1,,1,,1,gap,,,,1,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,9,Paul Grund,halfcab,1,,fakie,,,,,,flat,into bank,Eiffel Tower,,2,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,8,Jamie Platt,bs wallie to bs 5050,1,,regular,,,,,,wall,to ledge,,,3,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,7,Aaron Herrington,bs 5050 to fs body varial,,,regular,1,1,,,,handrail,,,,4,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,6,Oski,nose manual to fs nosegrind indie,,,regular,,,,,,pad,concrete skatepark,Burnside,,5,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,5,Hjalte,bs 180 to fakie manual to kickflip,1,,regular,,,,,,pad,,,,6,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,4,Roman Gonzalez,fs wallride to fs lipslide,,,regular,,,,,,wall,to ledge,,,7,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,3,Nick Boserio,drop in 5050 to fs 5050,,,regular,,,,,,handrail,handrail to hubba,,,8,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,2,Emile Laurent,fs kickflip,,,regular,,,1,,,stairs,,,,9,Sounds Like You Guys Are Crushing It,company,Polar,
40,10/7/22,1,Ville Wester,ollie,,,regular,1,,1,,1,gap,onto ball,,,10,Sounds Like You Guys Are Crushing It,company,Polar,
41,10/14/22,10,Helena Long,bs boardslide to transfer fs 5-0,,,regular,,,,,,flat rail,into bank,,woman,1,Rerouting,company,Spitfire,
41,10/14/22,9,Aaron Loreth,fakie manual to fakie bigspin to manual,,1,switch,,,,,,pad,,UW,,2,Toes Down,company,Limosine,
41,10/14/22,8,Cesar Dubroca,fs 180 to sw fs 5-0,,,regular,1,,,,,hubba,,,,3,Duex Rives,company,Element,
41,10/14/22,7,Rob Maatman,bs noseslide to bs blunt to fakie,,,regular,,1,,,,ledge,ledge to ledge,,,4,Pop x Vans '22,company,Pop Trading Co x Vans,
41,10/14/22,6,Tomek Ziolkowski,fs 5050 to fs shuv to nose manual to nollie,,,regular,,,,,,ledge,ledge to pad to stairs,,combo,5,Witos Story,company,Grey Area,
41,10/14/22,5,Jan Federer,bs kickflip,,,regular,1,,,,,gap,flat gap,,street gap,6,Turtle 3,homie,,
41,10/14/22,4,Victor Casgarigny,pole jam to hippie jump,1,,regular,,,,,1,pole jam,,,,7,Duex Rives,company,Element,
41,10/14/22,3,Gilbert Crockett,fakie kickflip to sw bs nosegrind,1,,fakie,,,,,,ledge,,,2 clips,8,Denim Car,company,Quasi,
41,10/14/22,2,Romel Torres,bs 5050 transfer,,,regular,,,,,,flat rail,,,huge,9,Easier Said Than Done,company,Tactics,
41,10/14/22,1,Cyrus Bennett,ollie bs noseslide,,,regular,,,,,1,gap,bump to bar to ledge,,,10,Toes Down,company,Limosine,
42,10/21/22,10,Jordan Trahan,no compy bs 180 to sw fs 5050 to sw fs 180,1,,regular,,1,,,1,curb,,,3rd no comply from Trahan?,1,EROSION,homie,,
42,10/21/22,9,Leon Charo Tite,fs wallride to bs bigspin,,,regular,,1,,,,transition,street transition,DIY park,,2,,,,1
42,10/21/22,8,Jim Greco,bs 360 to fakie,,,regular,1,1,,,,transition,street transition,LA Mall,,3,White Wall,solo,,
